Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5364318_2 - illumina_universal_adapter	(1, 2.277193314606758e-06)	(2, 4.554386629213516e-06)	(3, 1.138596657303379e-05)	(4, 3.415789971910137e-05)	(5, 3.415789971910137e-05)	(6, 5.692983286516895e-05)	(7, 6.603860612359598e-05)	(8, 6.831579943820274e-05)	(9, 7.287018606741626e-05)	(10, 8.425615264045006e-05)	(12, 0.00011385966573033792)	(14, 0.0001525719520786528)	(16, 0.00018445265848314742)	(18, 0.00019925441502809135)	(20, 0.00023113512143258598)	(22, 0.00027440179441011437)	(24, 0.00033588601390449683)	(26, 0.00039395444342696915)	(28, 0.00045999304955056516)	(30, 0.0005749913119382065)	(32, 0.0007161772974438255)	(34, 0.0009268176790449506)	(36, 0.001279782642808998)	(38, 0.0017739335920786646)	(40, 0.0024195178967696806)	(42, 0.0033508899624438444)	(44, 0.004601069092162955)	(46, 0.0061598079160112805)	(48, 0.00823205383230343)	(50, 0.010913448960252889)	(52, 0.014134538903764149)	(54, 0.018409969351938338)	(56, 0.02339474551761253)	(58, 0.02946574289435415)	(60, 0.03706359838853959)	(62, 0.04678265945528124)	(64, 0.058711736633848745)	(66, 0.0737229949637365)	(68, 0.09180277128505684)	(70, 0.11448817108516937)	(72, 0.14285972259185498)	(74, 0.17906823489075974)	(76, 0.22353385014842858)	(78, 0.2771742772706481)	(80, 0.342165374469525)	(82, 0.4222861440506491)	(84, 0.5229790780359308)	(86, 0.6456867783901732)	(88, 0.7920249137700901)
SRR5364318_2 - polya	(1, 0.012975447506629309)	(2, 0.01911248348949452)	(3, 0.02374429469140467)	(4, 0.02739008118809009)	(5, 0.03016142545196651)	(6, 0.0322131766284272)	(7, 0.03425809622494407)	(8, 0.03927475309702276)	(9, 0.044384774895000326)	(10, 0.05086338987505655)	(12, 0.055372232637977935)	(14, 0.06069289481755662)	(16, 0.0664473623235679)	(18, 0.07256390356660165)	(20, 0.07845727986480394)	(22, 0.08439050704601185)	(24, 0.09010740086233211)	(26, 0.095560140254158)	(28, 0.10140000250946704)	(30, 0.10756778060207944)	(32, 0.11291918489140532)	(34, 0.11835484533337165)	(36, 0.12375407068230428)	(38, 0.1297294259398324)	(40, 0.1351161267255347)	(42, 0.14076698193573134)	(44, 0.1464736283821359)	(46, 0.1523749748569393)	(48, 0.15753509490783824)	(50, 0.16283753954090008)	(52, 0.168313050865872)	(54, 0.17413127978469228)	(56, 0.17964436479935525)	(58, 0.1848170094134845)	(60, 0.19038816285766993)	(62, 0.19576006188682726)	(64, 0.20131185918783856)	(66, 0.20674410383983297)	(68, 0.21231070289738918)	(70, 0.2179718054775016)	(72, 0.2234382080292151)	(74, 0.2288545123280073)	(76, 0.23403057273210845)	(78, 0.23925559279247366)	(80, 0.2444646724996366)	(82, 0.2505527488262378)	(84, 0.2563038005422772)	(86, 0.2619352996092996)	(88, 0.26731858460503005)
SRR5364322_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 7.458189668401056e-06)	(4, 5.0342780261707126e-05)	(5, 5.966551734720845e-05)	(6, 7.085280184981004e-05)	(7, 8.576918118661215e-05)	(8, 9.322737085501321e-05)	(9, 9.882101310631399e-05)	(10, 0.0001249246769457177)	(12, 0.00015941880416207258)	(14, 0.00020416794217247892)	(16, 0.0002461202590572348)	(18, 0.0002945984919018417)	(20, 0.00035239946183194995)	(22, 0.00040833588434495784)	(24, 0.0004735950439434671)	(26, 0.0005500414880445779)	(28, 0.0006180974687687375)	(30, 0.0007336994086289539)	(32, 0.0009201541503389803)	(34, 0.0011849198835672179)	(36, 0.0015513034510274198)	(38, 0.0021554168141679052)	(40, 0.0030075149837827256)	(42, 0.004159805287550689)	(44, 0.005612287725471794)	(46, 0.007386404592842696)	(48, 0.009736666612097579)	(50, 0.01263697011939704)	(52, 0.016316654447044412)	(54, 0.021221346427726655)	(56, 0.0271655235934423)	(58, 0.03431140156947906)	(60, 0.043150288600242864)	(62, 0.05410450467570692)	(64, 0.06792453013125407)	(66, 0.08495157714421367)	(68, 0.10567042804303181)	(70, 0.13057798471436569)	(72, 0.16158261143961744)	(74, 0.20081082454798987)	(76, 0.24906158260771055)	(78, 0.3074657336272506)	(80, 0.37752144145625033)	(82, 0.4634369896151048)	(84, 0.5696183036504221)	(86, 0.6993190188050421)	(88, 0.8537939754906734)
SRR5364322_1 - polya	(1, 0.004098275222786381)	(2, 0.009009493119428476)	(3, 0.011746648727731663)	(4, 0.014860442914289104)	(5, 0.01716315897440793)	(6, 0.018893458977476976)	(7, 0.020996668463966073)	(8, 0.024679149612739096)	(9, 0.03041076837290531)	(10, 0.036616914450723535)	(12, 0.040083108099112925)	(14, 0.044637265165380316)	(16, 0.049049716627948096)	(18, 0.05278533737810848)	(20, 0.05738983722463758)	(22, 0.06115622300718011)	(24, 0.06468674354145947)	(26, 0.06799817975422953)	(28, 0.0716629477025401)	(30, 0.07569037012347668)	(32, 0.07967584022752848)	(34, 0.08323339669935578)	(36, 0.08744074794604254)	(38, 0.091484951293733)	(40, 0.09555805512638853)	(42, 0.0989067822875006)	(44, 0.1020233732951837)	(46, 0.10541591732059763)	(48, 0.10939579378239814)	(50, 0.11324888101983584)	(52, 0.11628249966745796)	(54, 0.11941866842302061)	(56, 0.1228084156273089)	(58, 0.1261823141785518)	(60, 0.1298881021700386)	(62, 0.1334307422625291)	(64, 0.13803244528793257)	(66, 0.14261084147062225)	(68, 0.1457843011745269)	(70, 0.1490351395962412)	(72, 0.15268499116521497)	(74, 0.1557670880456817)	(76, 0.15909530518520568)	(78, 0.16234148223837724)	(80, 0.1656780898412782)	(82, 0.16896435466391738)	(84, 0.17217044394762127)	(86, 0.1753672104942397)	(88, 0.17853880565072722)
SRR5364322_2 - illumina_universal_adapter	(1, 1.864547417100264e-06)	(2, 5.593642251300793e-06)	(3, 1.1187284502601585e-05)	(4, 3.915549575910555e-05)	(5, 4.474913801040634e-05)	(6, 6.153006476430872e-05)	(7, 7.458189668401057e-05)	(8, 8.017553893531136e-05)	(9, 8.576918118661215e-05)	(10, 0.00011187284502601584)	(12, 0.00014636697224237075)	(14, 0.00020510021588102903)	(16, 0.00025171390130853565)	(18, 0.00029553076561039183)	(20, 0.0003635867463345515)	(22, 0.00043816864301856207)	(24, 0.0005024955289085212)	(26, 0.0005724160570497811)	(28, 0.0006479302274423418)	(30, 0.0007831099151821109)	(32, 0.0009807519413947388)	(34, 0.0012548404117084778)	(36, 0.001645463095590983)	(38, 0.0022542378272742193)	(40, 0.0031109973654317906)	(42, 0.004262355395491204)	(44, 0.005728821939040561)	(46, 0.007506667901245663)	(48, 0.00989422086884255)	(50, 0.012829950777066917)	(52, 0.016528280578885293)	(54, 0.021432972559567536)	(56, 0.027378081998991728)	(58, 0.03444751353092738)	(60, 0.04316240815845401)	(62, 0.053981444546178294)	(64, 0.06767747759848829)	(66, 0.08459265176642188)	(68, 0.1052033589150482)	(70, 0.13021812706286534)	(72, 0.16132437162234903)	(74, 0.2006653898494561)	(76, 0.2489814070687752)	(78, 0.30740606810990345)	(80, 0.3773927876844704)	(82, 0.463134000659826)	(84, 0.5691540313435641)	(86, 0.6985974389546243)	(88, 0.853042562881582)
SRR5364322_2 - polya	(1, 0.012882158104745724)	(2, 0.01982573268602711)	(3, 0.024516933987451372)	(4, 0.02854435640838794)	(5, 0.03161713055176918)	(6, 0.03373152732276088)	(7, 0.03580676859799347)	(8, 0.04114683240056863)	(9, 0.046844889307227036)	(10, 0.05408213010670171)	(12, 0.058771466860708874)	(14, 0.06471750857384162)	(16, 0.07124342453369253)	(18, 0.0780135962051836)	(20, 0.08451620532232076)	(22, 0.09105330856667429)	(24, 0.09727157420270369)	(26, 0.10302836435300074)	(28, 0.109458256120871)	(30, 0.11601120801826988)	(32, 0.1218323250544569)	(34, 0.1279471083088372)	(36, 0.1340702820265945)	(38, 0.14055611021697775)	(40, 0.14679954724313798)	(42, 0.15289195592851312)	(44, 0.15934235771797145)	(46, 0.1660025210918536)	(48, 0.17176210806327633)	(50, 0.1776923011233637)	(52, 0.18357308367689795)	(54, 0.19009433826820613)	(56, 0.19608512911934928)	(58, 0.2015641017044984)	(60, 0.2077105822649694)	(62, 0.21377222591796236)	(64, 0.2201116871361033)	(66, 0.226159346683468)	(68, 0.233049781663362)	(70, 0.23996538803338688)	(72, 0.24590303928314267)	(74, 0.2517875509315111)	(76, 0.25753408607101413)	(78, 0.2632880794001855)	(80, 0.2692536988611979)	(82, 0.2761450661148004)	(84, 0.2824770691432729)	(86, 0.2889228095641885)	(88, 0.2950273378077748)
SRR5364323_1 - illumina_universal_adapter	(1, 0.0)	(2, 6.561477578260985e-06)	(3, 8.748636771014647e-06)	(4, 4.811750224058056e-05)	(5, 5.905329820434887e-05)	(6, 6.561477578260985e-05)	(7, 8.311204932463914e-05)	(8, 8.52992085173928e-05)	(9, 9.842216367391477e-05)	(10, 0.00012357449439058188)	(12, 0.0001531011434927563)	(14, 0.00018372137219130758)	(16, 0.00021543518048623567)	(18, 0.0002416810907992796)	(20, 0.00026464626232319306)	(22, 0.00030729586658188944)	(24, 0.0003608812668043542)	(26, 0.0004286832017797177)	(28, 0.0005194503082789946)	(30, 0.0006922358845065339)	(32, 0.0009525078284442197)	(34, 0.0013954075649768361)	(36, 0.00201874793491163)	(38, 0.00297453650214498)	(40, 0.004336043099634134)	(42, 0.006295737736341415)	(44, 0.008803315750833488)	(46, 0.011969228682344414)	(48, 0.015805505906434335)	(50, 0.02081081971905109)	(52, 0.02727715587242729)	(54, 0.035421043126645554)	(56, 0.045103596872966015)	(58, 0.0573002901113568)	(60, 0.07240153075772446)	(62, 0.09101534906765449)	(64, 0.11416205480456651)	(66, 0.14243218095050397)	(68, 0.17701226136753573)	(70, 0.21923974390203066)	(72, 0.2712952262691642)	(74, 0.33663660715267985)	(76, 0.4158544195346211)	(78, 0.5105004528622467)	(80, 0.6232025789056501)	(82, 0.7611499899314127)	(84, 0.9303245663317157)	(86, 1.133651633526867)	(88, 1.3718912293363488)
SRR5364323_1 - polya	(1, 0.003976255412426157)	(2, 0.009273554977275526)	(3, 0.011644435542220494)	(4, 0.014763324551087215)	(5, 0.016858623057745225)	(6, 0.018538361317780035)	(7, 0.020366826402922096)	(8, 0.023805040653930853)	(9, 0.028942677597709205)	(10, 0.034511184902460024)	(12, 0.03801173319046226)	(14, 0.04236527356363842)	(16, 0.046455261254087776)	(18, 0.049883633288729134)	(20, 0.05397471455877487)	(22, 0.05752775466740319)	(24, 0.06087410823231629)	(26, 0.06380818228939533)	(28, 0.06712391562560988)	(30, 0.07084208625329111)	(32, 0.0743491960188716)	(34, 0.07749105019926222)	(36, 0.08128577139868984)	(38, 0.08519313129654425)	(40, 0.08909502329641679)	(42, 0.09223250315842191)	(44, 0.0952157882973379)	(46, 0.09839154344521622)	(48, 0.10216111231392716)	(50, 0.10571633958174823)	(52, 0.10833546271507075)	(54, 0.11109675119592224)	(56, 0.11407019411847084)	(58, 0.11709831602083828)	(60, 0.120359370377234)	(62, 0.12348591444327536)	(64, 0.1277738400406689)	(66, 0.131999431601069)	(68, 0.13503630214020745)	(70, 0.13789054488675098)	(72, 0.14107286151220755)	(74, 0.1439828768181663)	(76, 0.14700225008376272)	(78, 0.14997897374510047)	(80, 0.15307599116203965)	(82, 0.15619050585252087)	(84, 0.15929189758784557)	(86, 0.16227518272676156)	(88, 0.1652289412165754)
SRR5364323_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.1871591927536617e-06)	(3, 6.561477578260985e-06)	(4, 4.811750224058056e-05)	(5, 5.905329820434887e-05)	(6, 6.998909416811718e-05)	(7, 9.623500448116112e-05)	(8, 0.00010498364125217576)	(9, 0.00011373227802319041)	(10, 0.00014325892712536485)	(12, 0.00016950483743840877)	(14, 0.00020778012331159785)	(16, 0.0002449618295884101)	(18, 0.0002701141603050772)	(20, 0.0002985472298108748)	(22, 0.00034994547084058586)	(24, 0.0004079051894485579)	(26, 0.0004800814428094287)	(28, 0.0005850650840616045)	(30, 0.000768786456252912)	(32, 0.001039994196154366)	(34, 0.001485081091879736)	(36, 0.002118263678181921)	(38, 0.0030795201433971558)	(40, 0.004448681798060948)	(42, 0.006413844332750112)	(44, 0.00894110677997697)	(46, 0.01210483255229514)	(48, 0.015994695176607527)	(50, 0.02106343660581414)	(52, 0.027556018669503385)	(54, 0.035727245413631065)	(56, 0.04541417347833703)	(58, 0.05748619864274086)	(60, 0.07242996382723026)	(62, 0.09088193235689652)	(64, 0.11382741944807519)	(66, 0.1418318057520931)	(68, 0.1762194161601625)	(70, 0.21860765489532485)	(72, 0.27078889891604174)	(74, 0.3362724451470863)	(76, 0.4155230649169189)	(78, 0.51032438654723)	(80, 0.6231249347543073)	(82, 0.7609903273103417)	(84, 0.9300971017756693)	(86, 1.1334733800526575)	(88, 1.3718879485975597)
SRR5364323_2 - polya	(1, 0.01592470608243941)	(2, 0.023721928604606216)	(3, 0.029163580676177324)	(4, 0.033708497478719436)	(5, 0.03662616784185282)	(6, 0.038631792821607926)	(7, 0.040792706104048546)	(8, 0.046245293971583425)	(9, 0.05211125492654874)	(10, 0.05986254710566771)	(12, 0.06486348659989896)	(14, 0.07062665107280486)	(16, 0.07692238880914629)	(18, 0.08362821889412901)	(20, 0.09018204141521535)	(22, 0.09709346446431692)	(24, 0.10327984424102066)	(26, 0.1089183406399396)	(28, 0.11542513923838174)	(30, 0.12193849931440215)	(32, 0.12784820345322254)	(34, 0.1338782013476444)	(36, 0.13960855843265896)	(38, 0.14600927981025258)	(40, 0.15196491429212078)	(42, 0.15808021139506)	(44, 0.16439453998453984)	(46, 0.17112661597983564)	(48, 0.17695976954690962)	(50, 0.18263107333371986)	(52, 0.18851343798263087)	(54, 0.19456093315059472)	(56, 0.20049250888134265)	(58, 0.2063475340403442)	(60, 0.21247923483722908)	(62, 0.2183692545433147)	(64, 0.2245250140913199)	(66, 0.23037785209112868)	(68, 0.23734832843843462)	(70, 0.24441832052901083)	(72, 0.25033677330460224)	(74, 0.2561939856227965)	(76, 0.26196480515287707)	(78, 0.2675169087636823)	(80, 0.2731969611872635)	(82, 0.27964142574871215)	(84, 0.28588248450523474)	(86, 0.2920054366653486)	(88, 0.29796544546560233)
