GeneID	SRR5364316	SRR5364317	SRR5364318	SRR5364322	SRR5364323
ENSMUSG00000083422	0	0	0	0	0
ENSMUSG00000119312	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0
ENSMUSG00000103448	0	0	0	0	0
ENSMUSG00000103192	0	3	0	3	0
ENSMUSG00000104488	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0
ENSMUSG00000102721	1	0	0	0	0
ENSMUSG00000100648	0	0	0	0	0
ENSMUSG00002076499	0	0	0	0	0
ENSMUSG00000099949	0	0	0	0	0
ENSMUSG00000099918	0	0	0	0	0
ENSMUSG00000103424	0	0	0	0	0
ENSMUSG00000104029	0	0	0	1	0
ENSMUSG00000101986	0	0	0	0	0
ENSMUSG00000087008	0	0	0	1	0
ENSMUSG00000066797	0	0	1	1	0
ENSMUSG00002076439	0	0	0	0	0
ENSMUSG00000100031	0	0	0	0	0
ENSMUSG00000077318	0	0	1	0	0
ENSMUSG00000101827	0	0	2	0	0
ENSMUSG00000103494	0	0	0	0	0
ENSMUSG00000101880	0	0	0	0	0
ENSMUSG00000101433	0	0	0	0	0
ENSMUSG00000056708	657	591	720	707	824
ENSMUSG00000103825	0	1	0	0	0
ENSMUSG00000099845	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0
ENSMUSG00000101610	0	0	0	0	0
ENSMUSG00000104181	12	5	5	9	9
ENSMUSG00000118923	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0
ENSMUSG00000097628	1	1	0	1	0
ENSMUSG00000098163	0	0	0	0	0
ENSMUSG00000103670	1	1	2	4	1
ENSMUSG00002076398	2	0	0	0	0
ENSMUSG00000101724	0	0	0	0	0
ENSMUSG00000100313	0	2	0	0	1
ENSMUSG00000100696	0	1	0	0	0
ENSMUSG00002075355	0	0	0	0	0
ENSMUSG00000072324	1	0	0	1	2
ENSMUSG00000102194	0	6	4	1	0
ENSMUSG00000103636	8	8	10	13	3
ENSMUSG00000103180	0	0	0	0	0
ENSMUSG00000101628	0	0	0	0	0
ENSMUSG00000078291	0	0	0	0	0
ENSMUSG00000102299	0	2	4	3	0
