GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000120094	7.18742128402231	-0.0487367490571626	0.0627028976714177	-0.806878853520837	0.41973628310965	NA
ENSMUSG00000135179	2.53172383823416	0.000403573826822197	0.0400782203534734	0.0100419417435138	0.991987824381353	NA
ENSMUSG00000135215	3.7609369201482	-0.0371235166091772	0.0432525337394729	-0.930781685908592	0.351966505056896	NA
ENSMUSG00000135221	7.59629919723133	0.00192667326075073	0.0652955535445187	0.0295080738975363	0.976459379707717	NA
ENSMUSG00000120903	3.84967938948513	0.00656521089238821	0.0467752612545698	0.139796343872822	0.888820902096156	NA
ENSMUSG00000135579	7.14705309279502	0.0244028000258753	0.0634862844383702	0.379872759196688	0.704039869270425	NA
ENSMUSG00000135643	3.05642064113293	0.0269177316432409	0.0428578638643352	0.615742317521497	0.538064603062218	NA
ENSMUSG00000135675	3.39064691985397	0.0047272734614226	0.0457913368849804	0.102737955275674	0.918170949062375	NA
ENSMUSG00000103156	8.99104967264033	0.0609693662642859	0.0679417693581256	0.879878656795413	0.378925048067737	NA
ENSMUSG00000135739	6.08502760498895	0.0114204876063959	0.0580396297543696	0.194896338120127	0.845474100981496	NA
ENSMUSG00000104111	2.90886758446506	-0.0100976937072838	0.0430895523896041	-0.237297319718477	0.812426141285501	NA
ENSMUSG00000026729	2.61856389703362	0.00984745278692764	0.0382986857228714	0.25358323834285	0.799817547311012	NA
ENSMUSG00000135983	2.99076604225167	-0.0248017565138552	0.0430187925653735	-0.602885287595067	0.546585004012218	NA
ENSMUSG00000089812	5.58733568100625	0.072123246514029	0.0546301695095476	1.2847271807928	0.198887636549912	NA
ENSMUSG00000087691	9.91635170081494	0.00812208998267958	0.0688476940719627	0.11785483640714	0.906182679092791	NA
ENSMUSG00000136810	7.42078842098482	0.00541296459750904	0.0636729323653534	0.084849161927667	0.932381308863167	NA
ENSMUSG00000089990	4.4478373778644	-0.00808481158644333	0.0458142934623094	-0.178630337831318	0.858227971465953	NA
ENSMUSG00000104520	8.11716197589611	0.0222857405731768	0.0651309513112952	0.337277702153904	0.735907567059727	NA
ENSMUSG00000136954	3.59948999102757	0.0127657028275213	0.047045751852518	0.268298266039658	0.788469740810793	NA
ENSMUSG00000100183	4.96735106364045	0.016405973326054	0.054515885964969	0.297535112958664	0.766058004812396	NA
ENSMUSG00000137014	2.57227110154363	0.0131650803562941	0.0402688860594793	0.321315047268239	0.747971654447563	NA
ENSMUSG00000137090	4.83791728869233	0.0337370968878248	0.0537014550050152	0.617157347668622	0.537130945707687	NA
ENSMUSG00000101503	2.74947684256997	-0.0192587622973861	0.0418234607113529	-0.47611341691313	0.63399357893628	NA
ENSMUSG00000102009	2.38933442991631	0.0178098015913253	0.0381138805292558	0.456933687933024	0.647718709254693	NA
ENSMUSG00000137207	2.58611290133235	0.0363970871876193	0.0389556683808246	0.908037398278073	0.363858463144039	NA
ENSMUSG00000137389	2.46153362495257	0.0296430377279663	0.0390599720238516	0.74332284941162	0.457286241063779	NA
ENSMUSG00000137453	5.87077513913958	0.0194560389950482	0.055798566484729	0.345312078484286	0.729859767196102	NA
ENSMUSG00000137757	3.72150273778806	-0.0175680351084972	0.0482436653467523	-0.371683404541064	0.710128582471002	NA
ENSMUSG00000102055	5.78537614286652	0.0411857535423294	0.0559178129924147	0.716273302405778	0.473822608471858	NA
ENSMUSG00000137943	4.65872203468401	-0.0284850783039655	0.0525893094869731	-0.556994721186972	0.577531035867431	NA
ENSMUSG00000137979	4.78934625863963	0.0705280093657128	0.0524515679971543	1.30876317655896	0.190614583986052	NA
ENSMUSG00000137984	7.42880245334169	-0.018903898612919	0.0646256942469587	-0.296079884810867	0.76716907525367	NA
ENSMUSG00000100954	9.34254167055346	0.00766625933145648	0.0694604021325555	0.109772648426746	0.912589683319905	NA
ENSMUSG00000110712	3.43515764811963	-0.0210453791382798	0.045221581327388	-0.482564112394755	0.629405265846896	NA
ENSMUSG00000087538	8.6154845855857	0.0739722246367635	0.067457107325932	1.07314624842414	0.283205503226203	NA
ENSMUSG00000138441	3.88369179102596	0.0321102730202463	0.0478603301120042	0.658773237324514	0.510041395410605	NA
ENSMUSG00000138472	2.58117616751267	-0.000503304368679621	0.0409671441071218	-0.0123001463232395	0.990186150615795	NA
ENSMUSG00000121275	9.98875992006753	0.0440516108956653	0.0687646505143083	0.628599152880258	0.529611515060439	NA
ENSMUSG00000138590	4.66240651244582	0.0360659057715326	0.0517625809628683	0.683459513049118	0.494316525217353	NA
ENSMUSG00000099413	1.96274808879324	0.00202243845104925	0.0360230513155561	0.0558424985898276	0.955467278766167	NA
ENSMUSG00000138870	2.97541321695849	0.0507153201610121	0.0414518986634172	1.19220604421919	0.233180464039313	NA
ENSMUSG00000101126	3.903100050913	-0.0430827046307373	0.0467013586600185	-1.00012006173249	0.317252408502081	NA
ENSMUSG00000120395	2.41693092704923	0.018097679670117	0.0395320809063339	0.44920215724272	0.653285831451303	NA
ENSMUSG00000139399	3.09496378988091	-0.0134448569536044	0.0431371593742079	-0.318234566037	0.750307014687579	NA
ENSMUSG00000139507	6.59845400491147	0.0355110536823196	0.0597618883775215	0.584017918635181	0.559208256590891	NA
ENSMUSG00000121232	7.39488202143855	-0.00643528440870122	0.0612933079884764	-0.105428636703767	0.916035693879267	NA
ENSMUSG00000139695	9.59531706740302	-0.0110094463869247	0.0693827157945519	-0.15915694073089	0.873545227677173	NA
ENSMUSG00000099553	10.2513451885942	0.0476343396622589	0.0725787172606558	0.647857878857154	0.51707687615161	NA
ENSMUSG00000092188	2.25348475056028	0.00877595438403816	0.0371346822988919	0.234292662433769	0.814757781946955	NA
ENSMUSG00000140053	4.90413916982456	0.0482830857386553	0.0501318063547066	0.934241935967327	0.350179108182477	NA
