GeneID	SRR5364316	SRR5364317	SRR5364318	SRR5364322	SRR5364323
ENSMUSG00000036376	9.75966809689163	9.68245608419796	9.76467689158571	9.74421853630791	9.63970067296359
ENSMUSG00000045273	7.68207038884421	7.71204445538858	7.75775031777611	7.71734018648062	7.71556781234128
ENSMUSG00000021700	13.6068510542706	13.5510003445919	13.3675317867341	13.2835265988192	13.4553508313837
ENSMUSG00000025869	9.4572465597111	9.42609262666377	9.61669512974992	9.50848008836268	9.50041731210283
ENSMUSG00000021392	10.5866964296597	10.4963269728814	10.4852621866301	10.2742737861722	10.4554864296816
ENSMUSG00000021468	10.5710627967327	10.6731359200436	10.657462825624	10.6870157721124	10.6469997212398
ENSMUSG00000047789	10.9216983593548	10.8162808470305	10.8762196530066	10.717914550684	10.7127153323785
ENSMUSG00000025875	10.3199995117753	10.4685119419806	10.4745720227737	10.6455044575287	10.6287014126991
ENSMUSG00000025872	10.3673656242196	10.3003766351763	10.2975145540003	10.1653396708525	10.2445784178555
ENSMUSG00000055480	9.21567308078915	9.21019034529775	9.13018265004659	9.09025606185327	9.18273860958056
ENSMUSG00000021710	10.4974463008714	10.4401348564413	10.4353992177152	10.3603704531219	10.3096429646932
ENSMUSG00000021518	11.3228644034155	11.3359560776614	11.325516348519	11.3612977592128	11.2703855613493
ENSMUSG00000054889	8.28385327787023	8.11307198301967	8.2588227952603	8.19399283222238	8.45385211866638
ENSMUSG00000035958	10.8851816444837	10.9048168537618	10.9370875446457	10.8304834289065	10.8741101924228
ENSMUSG00000074874	7.55773236412584	7.56386078509987	7.61744732436043	7.66974836248551	7.58545806046286
ENSMUSG00000021666	10.2624231444874	10.2735098817573	10.1846777873218	10.2419702650731	10.3937447891463
ENSMUSG00000038175	9.8861231772832	9.74660040223704	9.74659633641512	9.69482510573804	9.93504362275965
ENSMUSG00000021610	11.4681138745589	11.4748118607831	11.4436915551427	11.556327386503	11.4073073977553
ENSMUSG00000021376	9.91479305352603	9.87502736127911	9.71155632158053	9.77329098254891	9.72737924980298
ENSMUSG00000069308	7.55773236412584	7.62285041613182	7.47561354508616	7.36064826126909	7.47313842211991
ENSMUSG00000021645	9.78765749483341	9.65224721889008	9.76467689158571	9.85962282898831	9.79124636371332
ENSMUSG00000021594	9.47271543034762	9.40164644577492	9.25588126066479	9.50320077170388	9.29115106329068
ENSMUSG00000006179	7.91510133317953	7.94377971776001	7.920490576606	7.87408710439576	7.83587307777669
ENSMUSG00000074886	10.6897304848538	10.740505453012	10.732707741845	10.699603820467	10.7780025379798
ENSMUSG00000006611	9.16346956177101	9.29889111508238	9.23174407848265	9.42507021486218	9.45120991305814
ENSMUSG00000021493	9.65300042957566	9.71782494389918	9.77362668945092	9.98700845745656	9.71137273650793
ENSMUSG00000021368	9.63952930090904	9.60876455751211	9.75385781711267	9.77759808511728	9.67510023681479
ENSMUSG00000034675	10.9116914689098	10.9787894429665	11.0685642006969	10.9911086863833	10.9619437557618
ENSMUSG00000042082	11.501725319368	11.5098186619931	11.4801299983746	11.4985768071927	11.4891343895743
ENSMUSG00000021539	7.47449377871615	7.56386078509987	7.55966881759428	7.46385679962843	7.58545806046286
ENSMUSG00000052180	7.81427746975182	7.84254739206653	7.94305087627095	7.74575720541639	7.88550828273412
ENSMUSG00000042590	11.0323424184007	11.1010979509117	11.1123370208475	10.9410085538566	10.9168275919734
ENSMUSG00000118537	8.25715447996695	8.24850492388088	8.34401051460136	8.23521805360786	8.43790044640674
ENSMUSG00000037989	12.5749421329524	12.5968499354213	12.4320453212565	12.3665251023954	12.6460527922187
ENSMUSG00000054931	8.71852578845315	8.63670085045075	8.59776003978197	8.65121726009568	8.67435614902853
ENSMUSG00000044951	7.70148027036541	7.64779758725119	7.66433729215869	7.61318788173269	7.47313842211991
ENSMUSG00000021587	10.4964106280753	10.6828209114001	10.9223085955273	10.5430679536212	10.6064257302328
ENSMUSG00000047419	10.4479250638927	10.2863681903861	10.1512593096259	10.0646221566291	10.1915013574607
ENSMUSG00000063529	7.70148027036541	7.62285041613182	7.66433729215869	7.53933458102982	7.51969312498882
ENSMUSG00000034334	8.76704624183356	8.99034110681559	8.96990484672677	8.99331685447709	8.96454477980658
ENSMUSG00000021639	10.3730337035724	10.3391145693766	10.2529693885866	10.4010523315618	10.4334443771199
ENSMUSG00000074867	8.20088539429365	8.33163174004247	8.19405420056173	8.22366331096489	8.13101536674551
ENSMUSG00000046876	10.9587962516074	10.9023387189003	10.7818885374064	10.9228593518201	10.8115764824257
ENSMUSG00000074768	7.63915140265806	7.64779758725119	7.74094386881821	7.87408710439576	7.82259859901005
ENSMUSG00000021661	10.7541839693439	10.6972251601598	10.8100906721338	10.691471415398	10.6203891739032
ENSMUSG00000021678	7.75390441059143	7.67072005448589	7.47561354508616	7.6521323161113	7.65781901103636
ENSMUSG00000021367	8.58638337074729	8.63193222775374	8.40997364530415	8.85208879720077	8.33572105248725
ENSMUSG00000078958	9.10009993639534	9.2469890856589	9.23714849561093	9.20918834233258	9.1105087492625
ENSMUSG00000021690	12.2516975325553	12.1174837864738	11.902815953508	11.9197785905595	11.8483950895731
ENSMUSG00000042118	7.47449377871615	7.56386078509987	7.61744732436043	7.61318788173269	7.58545806046286
ENSMUSG00000058672	9.94749564310791	9.80600063185356	10.0208072348586	9.88236260765001	9.76571928030939
ENSMUSG00000021565	7.78519619205289	7.89567146863313	7.8462382881635	7.68639948926623	7.91973649198795
ENSMUSG00000021361	10.1328764677314	10.1149468955319	10.1471943379	10.2213927867927	10.1165294744225
ENSMUSG00000021621	9.83695192703841	9.86289430211729	9.73379332246338	9.8582732444748	9.80466543510412
ENSMUSG00000050002	9.78765749483341	9.85940767770887	9.96153767548893	9.98946323560657	10.0045030899853
ENSMUSG00000057842	8.97880894440626	8.98688745585808	8.96990484672677	8.94167567815545	8.91154779299464
ENSMUSG00000055560	7.96935900476342	8.02918754409696	7.88473826927885	7.90368162213652	7.98230505693954
ENSMUSG00000037933	11.9921852536815	12.0098416845945	11.9581023998003	11.9976738448069	11.8923929429506
ENSMUSG00000025451	12.1551228133794	12.1007502221758	12.1693650652159	12.02856095901	12.1524632248259
ENSMUSG00000021514	10.8000431120942	10.7067471499909	10.4431022701322	10.6098239666995	10.5713797907625
ENSMUSG00000052087	7.71982449121923	7.74891954124401	7.78934384833468	7.75918999884656	7.74924850441474
ENSMUSG00000021461	10.0905546036379	10.1091417204523	10.061833757613	10.0541336742249	10.0978068644705
ENSMUSG00000021640	7.36064826126909	7.47803769504708	7.59039682233404	7.56693358300011	7.51969312498882
ENSMUSG00000021577	13.9950152846907	13.9943146689077	14.1478387267431	13.907993911537	14.0368079859855
ENSMUSG00000034617	9.98842257591361	9.82045014647564	9.80536180088963	9.91253438845143	9.85543982885735
ENSMUSG00000002808	12.313724389145	12.3269514778887	12.5486179222146	12.3623770748654	12.3848426877862
ENSMUSG00000038462	12.2694799328824	12.326339291328	12.4344989162942	12.3904866312067	12.1989693878486
ENSMUSG00000025878	10.5077612860843	10.6672929187473	10.6036729453609	10.6339682926022	10.6129592005298
ENSMUSG00000045312	11.2083796197194	11.1526479184251	11.2921217775032	11.1332646219721	11.1638802463266
ENSMUSG00000042275	8.42836476379316	8.37029049061777	8.37461116402621	8.37211088857807	8.37111755001944
ENSMUSG00000034891	12.863384661686	12.8468640493237	12.8116996858702	13.0203836585787	13.1643149649247
ENSMUSG00000021754	10.4723770483664	10.379204460901	10.3512666827092	10.2712769784334	10.2626268942199
ENSMUSG00000006717	10.0625443083551	10.1577252631412	10.2043487993521	9.99191362054854	10.1415394227974
ENSMUSG00000021550	9.24228757145707	9.25809617482	9.30023977364619	9.31358465039782	9.19615310837295
ENSMUSG00000041236	12.5176042774693	12.547028007488	12.7123337295349	12.43593061614	12.4989680818582
ENSMUSG00000016018	11.8753304852167	11.8910019733233	11.9102853498724	11.7272624347751	11.810672304427
ENSMUSG00000060147	10.3409923860155	10.3611241462506	10.6298632648765	10.4379255409557	10.4843475846765
ENSMUSG00000039182	10.1765487598109	10.156320432166	10.3023772462778	10.0899292276982	10.0897044439969
ENSMUSG00000030446	9.36271036598343	9.36153523657778	9.47036576684609	9.31970256420084	9.48351258045677
ENSMUSG00000021322	7.73725884744219	7.85638436593695	7.88473826927885	7.79695379066245	7.79479120775019
ENSMUSG00000097333	9.94441468207002	9.96515513213637	9.9348759294277	9.89161642551148	9.71851041081343
ENSMUSG00000021342	7.55773236412584	7.36064826126909	7.36064826126909	7.36064826126909	8.3174564243223
ENSMUSG00000001542	9.88451253569267	9.88191213084996	9.82439397861484	9.81296462727162	9.77769223379804
ENSMUSG00000021670	11.6506232531708	11.641385481806	11.7099066359769	11.6122310525182	11.3771457183771
ENSMUSG00000042258	7.58816254673643	7.36064826126909	7.72334074069935	7.59123327275714	7.65781901103636
ENSMUSG00000051037	8.68490392641345	8.5728818598507	8.62119438631795	8.6217958421823	8.54424952924706
